,No zero values in 0-15 minute timepoints,half-life for 0-15 minutes,hyp_1_5_slope,hyp_1_5_r2,hyp_1_5_mse
MSMEG_1349,pass,15.28,-0.0654252252252252,0.354078287596882,0.208020080648648
MSMEG_6739,pass,15.29,-0.065395045045045,0.29901745649895,0.267075817834834
MSMEG_2558,pass,15.30,-0.0653516516516516,0.261845777463473,0.32073687266066
MSMEG_6662,pass,15.31,-0.0653202702702702,0.413147033257921,0.161456239276276
MSMEG_3678,pass,15.31,-0.0653201201201201,0.342488416647623,0.218215547615615
MSMEG_2163,pass,15.31,-0.0652989489489489,0.432181360994546,0.149241709126125
MSMEG_4194,pass,15.31,-0.0652960960960961,0.525628196704001,0.10250590066066
MSMEG_2294,pass,15.32,-0.0652891891891892,0.575536758138747,0.0837498024864864
MSMEG_1369,pass,15.32,-0.0652618618618618,0.655862425815758,0.0595350169849849
MSMEG_3297,pass,15.33,-0.0652436936936937,0.444584993830346,0.141668765762762
MSMEG_1842,pass,15.35,-0.065153003003003,0.436053221046064,0.146251967648648
MSMEG_6020,pass,15.35,-0.0651490990990991,0.31595363784244,0.244801022267267
MSMEG_3287,pass,15.35,-0.065143993993994,0.617163379056535,0.070128784261261
ORF31,pass,15.35,-0.0651351351351351,0.323464043509481,0.236390342402402
MSMEG_0187,pass,15.35,-0.0651304804804804,0.323473128618689,0.236346745738738
MSMEG_2971,pass,15.36,-0.0651237237237237,0.28494199587747,0.283528996828828
MSMEG_2540,pass,15.36,-0.0651231231231231,0.545870713217092,0.0939927543783783
MSMEG_1675,pass,15.36,-0.0651022522522522,0.528485421360492,0.100736848753753
MSMEG_5000,pass,15.36,-0.0650959459459459,0.192461854578765,0.47365321005105
MSMEG_6127,pass,15.37,-0.0650515015015015,0.322669370768575,0.236642009162162
MSMEG_4848,pass,15.37,-0.0650465465465465,0.642243778495739,0.0627870382822822
MSMEG_5527,pass,15.38,-0.065024024024024,0.459542108739163,0.13247028018018
MSMEG_0098,pass,15.39,-0.0649855855855856,0.45265340803137,0.136039465753753
MSMEG_4147,pass,15.39,-0.0649749249249249,0.40470709310219,0.165430539072072
MSMEG_0542,pass,15.40,-0.0649435435435435,0.589991506083028,0.0780824223783783
MSMEG_4298,pass,15.41,-0.0648902402402402,0.319644968158928,0.238759529018018
VBIMycSme59918_2061,pass,15.41,-0.0648875375375375,0.378830243395048,0.183917250795795
MSMEG_1029,pass,15.42,-0.0648528528528528,0.490581460300215,0.116347218738738
MSMEG_1213,pass,15.43,-0.0647899399399399,0.449873483363183,0.136748181126126
MSMEG_0731,pass,15.46,-0.0646977477477477,0.393723990184273,0.171708206087087
MSMEG_3999,pass,15.46,-0.0646887387387387,0.523037492283659,0.101658338843844
MSMEG_1032,pass,15.46,-0.0646684684684684,0.551975377311999,0.0904277135135136
MSMEG_6913,pass,15.47,-0.0646466966966967,0.446348281601499,0.138098729198197
MSMEG_3546,pass,15.48,-0.0646001501501501,0.452430080981632,0.134551760621621
MSMEG_6414,pass,15.48,-0.0645891891891892,0.633746057607436,0.0642274860420421
VBIMycSme59918_2521,pass,15.49,-0.0645406906906907,0.187721224974187,0.480167944513513
MSMEG_0977,pass,15.49,-0.0645399399399399,0.434881643276468,0.144198144792792
MSMEG_4018,pass,15.50,-0.0645342342342342,0.351088484189343,0.205061173933934
MSMEG_0638,pass,15.50,-0.0645096096096096,0.535331642674933,0.0962283928288288
